batch_id,stage,plant,material,start_ts,end_ts,mseg_line_count,total_menge,uom,vendor,customer,stage_order
BATCH001,supplier,SG01,RM-API-100,2024-01-02 08:00:00,2024-01-03 17:00:00,2,2000.0,KG,V1001,,1
BATCH001,raw_material_procurement,SG01,RM-API-100,2024-01-04 09:00:00,2024-01-06 15:00:00,2,2000.0,KG,V1001,,2
BATCH001,inbound_logistics,SG01,RM-API-100,2024-01-07 06:00:00,2024-01-09 18:00:00,2,2000.0,KG,V1001,,3
BATCH001,raw_material_receipt,SG01,RM-API-100,2024-01-10 08:30:00,2024-01-10 11:00:00,2,2000.0,KG,V1001,,4
BATCH001,quality_inspection_and_release,SG01,RM-API-100,2024-01-11 09:00:00,2024-01-15 16:00:00,2,2000.0,KG,V1001,,5
BATCH001,manufacturing,SG01,RM-API-100,2024-01-16 06:00:00,2024-01-24 20:00:00,2,5800.0,KG,,PO1001,6
BATCH001,packaging,SG01,FG-TAB-200,2024-01-25 07:00:00,2024-01-27 18:00:00,2,10000.0,EA,,,7
BATCH001,finished_goods,SG01,FG-TAB-200,2024-01-28 09:00:00,2024-01-29 14:00:00,2,10000.0,EA,,,8
BATCH001,warehouse,SG01,FG-TAB-200,2024-01-30 08:00:00,2024-01-31 16:00:00,2,10000.0,EA,,,9
BATCH001,distribution_center,SG01,FG-TAB-200,2024-02-01 07:00:00,2024-02-03 15:00:00,2,10000.0,EA,,,10
BATCH001,customer_shipment,DC01,FG-TAB-200,2024-02-04 09:00:00,2024-02-05 12:00:00,2,5000.0,EA,,C9001,11
BATCH001,customer,DC01,FG-TAB-200,2024-02-06 10:00:00,2024-02-07 16:00:00,2,10000.0,EA,,C9001,12
BATCH002,supplier,UK01,RM-EXC-300,2024-03-01 08:00:00,2024-03-02 12:00:00,2,1000.0,KG,V2002,,1
BATCH002,raw_material_procurement,UK01,RM-EXC-300,2024-03-03 09:00:00,2024-03-07 17:00:00,2,1000.0,KG,V2002,,2
BATCH002,inbound_logistics,UK01,RM-EXC-300,2024-03-08 06:00:00,2024-03-12 20:00:00,2,1000.0,KG,V2002,,3
BATCH002,raw_material_receipt,UK01,RM-EXC-300,2024-03-13 09:00:00,2024-03-13 11:00:00,2,1000.0,KG,V2002,,4
BATCH002,quality_inspection_and_release,UK01,RM-EXC-300,2024-03-14 08:00:00,2024-03-22 16:00:00,3,1500.0,KG,V2002,,5
BATCH002,manufacturing,UK01,RM-EXC-300,2024-03-23 06:00:00,2024-04-02 21:00:00,2,2400.0,KG,,PO2002,6
BATCH002,packaging,UK01,FG-INJ-400,2024-04-03 07:00:00,2024-04-05 18:00:00,2,4000.0,EA,,,7
BATCH002,finished_goods,UK01,FG-INJ-400,2024-04-06 09:00:00,2024-04-07 12:00:00,2,4000.0,EA,,,8
BATCH002,warehouse,UK01,FG-INJ-400,2024-04-08 08:00:00,2024-04-10 17:00:00,2,4000.0,EA,,,9
BATCH002,distribution_center,UK01,FG-INJ-400,2024-04-11 07:00:00,2024-04-14 16:00:00,2,4000.0,EA,,,10
BATCH002,customer_shipment,DC02,FG-INJ-400,2024-04-15 09:00:00,2024-04-16 13:00:00,2,4000.0,EA,,C9002,11
BATCH002,customer,DC02,FG-INJ-400,2024-04-17 10:00:00,2024-04-18 15:00:00,2,4000.0,EA,,C9002,12
BATCH003,supplier,US01,RM-API-100,2024-05-01 08:00:00,2024-05-01 08:00:00,1,200.0,KG,V3003,,1
BATCH003,raw_material_procurement,US01,RM-API-100,2024-05-03 10:00:00,2024-05-03 10:00:00,1,200.0,KG,,,2
